UNITNAME,ARCHIVE_PATH,ID
b'DES0759+0500',b'DEC/multiepoch/delve/r5918/DES0759+0500/p01',21650430
b'DES0819+2543',b'DEC/multiepoch/delve/r5918/DES0819+2543/p02',21652824
b'DES0811+0835',b'DEC/multiepoch/delve/r5918/DES0811+0835/p02',21653886
b'DES0904+2000',b'DEC/multiepoch/delve/r5918/DES0904+2000/p01',21654316
b'DES0912+1917',b'DEC/multiepoch/delve/r5918/DES0912+1917/p01',21654518
b'DES0915+0335',b'DEC/multiepoch/delve/r5918/DES0915+0335/p01',21654588
b'DES0924-1415',b'DEC/multiepoch/delve/r5918/DES0924-1415/p01',21654839
b'DES0926+0835',b'DEC/multiepoch/delve/r5918/DES0926+0835/p01',21654878
b'DES0927+0418',b'DEC/multiepoch/delve/r5918/DES0927+0418/p01',21654898
b'DES0934+0917',b'DEC/multiepoch/delve/r5918/DES0934+0917/p01',21655082
b'DES0936-1541',b'DEC/multiepoch/delve/r5918/DES0936-1541/p01',21655152
b'DES0944+2708',b'DEC/multiepoch/delve/r5918/DES0944+2708/p01',21655342
b'DES0946+2251',b'DEC/multiepoch/delve/r5918/DES0946+2251/p01',21655395
b'DES0946+2500',b'DEC/multiepoch/delve/r5918/DES0946+2500/p01',21655396
b'DES0946+2917',b'DEC/multiepoch/delve/r5918/DES0946+2917/p01',21655399
b'DES0947+0835',b'DEC/multiepoch/delve/r5918/DES0947+0835/p01',21655413
b'DES0948+0043',b'DEC/multiepoch/delve/r5918/DES0948+0043/p01',21655430
b'DES0948+2543',b'DEC/multiepoch/delve/r5918/DES0948+2543/p01',21655447
b'DES0950+2751',b'DEC/multiepoch/delve/r5918/DES0950+2751/p01',21655498
b'DES0952-1124',b'DEC/multiepoch/delve/r5918/DES0952-1124/p01',21655558
b'DES0953-2415',b'DEC/multiepoch/delve/r5918/DES0953-2415/p01',21655585
b'DES0954+0252',b'DEC/multiepoch/delve/r5918/DES0954+0252/p01',21655588
b'DES0954+2543',b'DEC/multiepoch/delve/r5918/DES0954+2543/p01',21655602
b'DES0955-0707',b'DEC/multiepoch/delve/r5918/DES0955-0707/p01',21655631
b'DES0956+0043',b'DEC/multiepoch/delve/r5918/DES0956+0043/p01',21655641
b'DES0956-0750',b'DEC/multiepoch/delve/r5918/DES0956-0750/p01',21655657
b'DES0957-1250',b'DEC/multiepoch/delve/r5918/DES0957-1250/p01',21655685
b'DES0958-1041',b'DEC/multiepoch/delve/r5918/DES0958-1041/p01',21655708
b'DES0958-2249',b'DEC/multiepoch/delve/r5918/DES0958-2249/p01',21655714
b'DES0959+0418',b'DEC/multiepoch/delve/r5918/DES0959+0418/p01',21655718
